site_id,time_point_code,time_point_date,region_id,region_name,site_code,n_site,n_rdt_pos_site,prev_site
101,1,01 Jul 2013 - 08 Aug 2013,1,R1 (NE) Maroantsetra,NE.01,374,39,10.427807486631016
101,2,10 Nov 2013 - 31 Dec 2013,1,R1 (NE) Maroantsetra,NE.01,275,61,22.181818181818183
101,3,05 Mar 2014 - 28 Mar 2014,1,R1 (NE) Maroantsetra,NE.01,276,97,35.14492753623188
102,1,01 Jul 2013 - 08 Aug 2013,1,R1 (NE) Maroantsetra,NE.02,266,44,16.541353383458645
102,2,10 Nov 2013 - 31 Dec 2013,1,R1 (NE) Maroantsetra,NE.02,217,56,25.806451612903224
102,3,05 Mar 2014 - 28 Mar 2014,1,R1 (NE) Maroantsetra,NE.02,200,47,23.5
111,1,09 Aug 2016 - 12 Sep 2016,1,R1 (NE) Maroantsetra,NE.11,221,10,4.524886877828054
111,2,27 Oct 2016 - 04 Dec 2016,1,R1 (NE) Maroantsetra,NE.11,175,3,1.7142857142857144
111,3,April 2017,1,R1 (NE) Maroantsetra,NE.11,166,2,1.2048192771084338
112,1,09 Aug 2016 - 12 Sep 2016,1,R1 (NE) Maroantsetra,NE.12,167,28,16.766467065868262
112,2,27 Oct 2016 - 04 Dec 2016,1,R1 (NE) Maroantsetra,NE.12,139,8,5.755395683453238
112,3,April 2017,1,R1 (NE) Maroantsetra,NE.12,141,23,16.312056737588655
113,1,09 Aug 2016 - 12 Sep 2016,1,R1 (NE) Maroantsetra,NE.13,157,8,5.095541401273886
113,2,27 Oct 2016 - 04 Dec 2016,1,R1 (NE) Maroantsetra,NE.13,107,6,5.607476635514018
113,3,April 2017,1,R1 (NE) Maroantsetra,NE.13,171,6,3.508771929824561
114,1,09 Aug 2016 - 12 Sep 2016,1,R1 (NE) Maroantsetra,NE.14,179,50,27.932960893854748
114,2,27 Oct 2016 - 04 Dec 2016,1,R1 (NE) Maroantsetra,NE.14,120,5,4.166666666666666
114,3,April 2017,1,R1 (NE) Maroantsetra,NE.14,172,4,2.3255813953488373
115,1,09 Aug 2016 - 12 Sep 2016,1,R1 (NE) Maroantsetra,NE.15,107,1,0.9345794392523363
115,2,27 Oct 2016 - 04 Dec 2016,1,R1 (NE) Maroantsetra,NE.15,98,1,1.0204081632653061
115,3,April 2017,1,R1 (NE) Maroantsetra,NE.15,107,1,0.9345794392523363
201,3,27 Jan - 11 Aug 2020,2,R2 (SE) Mananjary,SE.01,158,8,5.063291139240507
202,3,27 Jan - 11 Aug 2020,2,R2 (SE) Mananjary,SE.02,233,14,6.008583690987124
203,3,27 Jan - 11 Aug 2020,2,R2 (SE) Mananjary,SE.03,247,9,3.643724696356275
204,3,27 Jan - 11 Aug 2020,2,R2 (SE) Mananjary,SE.04,273,45,16.483516483516482
205,3,27 Jan - 11 Aug 2020,2,R2 (SE) Mananjary,SE.05,284,116,40.845070422535215
206,3,27 Jan - 11 Aug 2020,2,R2 (SE) Mananjary,SE.06,275,127,46.18181818181818
301,3,27 Jan - 11 Aug 2020,3,R3 (SW) Toliara,SW.01,263,5,1.9011406844106464
302,3,27 Jan - 11 Aug 2020,3,R3 (SW) Toliara,SW.02,239,3,1.2552301255230125
303,3,27 Jan - 11 Aug 2020,3,R3 (SW) Toliara,SW.03,253,44,17.391304347826086
304,3,27 Jan - 11 Aug 2020,3,R3 (SW) Toliara,SW.04,246,1,0.40650406504065045
305,3,27 Jan - 11 Aug 2020,3,R3 (SW) Toliara,SW.05,238,10,4.201680672268908
306,3,27 Jan - 11 Aug 2020,3,R3 (SW) Toliara,SW.06,170,11,6.470588235294119
401,3,27 Jan - 11 Aug 2020,4,R4 (WC) Morombe,WC.01,213,66,30.985915492957744
402,3,27 Jan - 11 Aug 2020,4,R4 (WC) Morombe,WC.02,156,50,32.05128205128205
403,3,27 Jan - 11 Aug 2020,4,R4 (WC) Morombe,WC.03,189,66,34.92063492063492
404,3,27 Jan - 11 Aug 2020,4,R4 (WC) Morombe,WC.04,244,76,31.147540983606557
405,3,27 Jan - 11 Aug 2020,4,R4 (WC) Morombe,WC.05,233,75,32.18884120171674
406,3,27 Jan - 11 Aug 2020,4,R4 (WC) Morombe,WC.06,271,51,18.81918819188192
501,3,27 Jan - 11 Aug 2020,5,R5 (CP) Ambositra,CP.01,244,1,0.4098360655737705
502,3,27 Jan - 11 Aug 2020,5,R5 (CP) Ambositra,CP.02,253,2,0.7905138339920948
503,3,27 Jan - 11 Aug 2020,5,R5 (CP) Ambositra,CP.03,241,2,0.8298755186721992
504,3,27 Jan - 11 Aug 2020,5,R5 (CP) Ambositra,CP.04,247,0,0
505,3,27 Jan - 11 Aug 2020,5,R5 (CP) Ambositra,CP.05,231,1,0.4329004329004329
506,3,27 Jan - 11 Aug 2020,5,R5 (CP) Ambositra,CP.06,151,0,0
